Cert Insights Monthly From (1 May 2025 to 31 May 2025)
Partner,Slug,Name,TotalUniqueEarnedCertificate,TotalUniqueCertAddedToProfile
"CSCMP","generative-ai-for-supply-chain-professional-certificate-by-cscmp","Generative AI for Supply Chain Professional Certificate by CSCMP",151,110
"Adobe","essential-skills-in-adobe-premiere-pro-2025-professional-certificate","Essential Skills in Adobe Premiere Pro 2025 Professional Certificate",81,61
"American-Staffing-Association","american-staffing-association-corporate-recruiting-professional-certificate","American Staffing Association Corporate Recruiting Professional Certificate",152,119
"Arista","network-automation-professional-certificate-by-arista-networks","Network Automation Professional Certificate by Arista Networks",24,17
"Microsoft-Japanese","291ea1f3-f98b-3d5b-a1c7-cdaddc3b2b00","ビジネス分析の基礎知識 by Microsoft x LinkedIn",3,0
"Microsoft-Mandarin","16244de7-3009-36a9-9908-da34583ab11a","网络安全职业技能基础（微软与领英联合制作）",5,0
"Microsoft-French","l-intelligence-artificielle-pour-les-dirigeants-par-microsoft-et-linkedin","L’intelligence artificielle pour les dirigeants par Microsoft et LinkedIn",17,3
"Microsoft-Spanish","fundamentos-profesionales-del-analisis-de-datos-por-microsoft-y-linkedin","Fundamentos profesionales del analisis de datos por Microsoft y LinkedIn",183,0
"Microsoft-Japanese","5a1041c1-5f84-3e0d-9566-6ac07380f710","データ分析の基礎知識 by Microsoft x LinkedIn",3,0
"Microsoft-Japanese","22efc6bc-6000-353c-9948-385e3b80b759","ソフトウェア開発の基礎知識 by Microsoft x LinkedIn",0,0
"Linkedin","succeeding-as-a-mid-career-manager-professional-certificate-by-linkedin-learning-24764049","Succeeding as a Mid-Career Manager Professional Certificate by LinkedIn Learning",30,18
"Microsoft-German","grundwissen-in-nachhaltiger-technologie-bereitgestellt-von-microsoft-und-linkedin","Grundwissen in nachhaltiger Technologie bereitgestellt von Microsoft und LinkedIn",8,0
"CSCMP","cscmp-supply-chain-foundations-demand-planning-professional-certificate","CSCMP Supply Chain Foundations: Demand Planning Professional Certificate",149,98
"Microsoft","microsoft-copilot-for-productivity-by-microsoft-and-linkedin","Microsoft Copilot for Productivity by Microsoft and LinkedIn",843,437
"Adobe","essential-skills-in-adobe-photoshop-professional-certificate","Essential Skills in Adobe Photoshop Professional Certificate",61,0
"Linkedin","building-ai-products-security-essentials-professional-certificate-by-linkedin-learning","Building AI Products: Security Essentials Professional Certificate by LinkedIn Learning",13,8
